term,timestamp,close,confirmed_at,retrospective
short,2018-01-29 00:00:00+00:00,11865.231885092,2018-02-05 00:00:00+00:00,True
short,2018-02-06 00:00:00+00:00,6905.959542551,2018-02-13 00:00:00+00:00,True
short,2018-02-21 00:00:00+00:00,11446.215061411,2018-02-28 00:00:00+00:00,True
short,2018-02-26 00:00:00+00:00,9699.647408137,2018-03-05 00:00:00+00:00,True
short,2018-03-06 00:00:00+00:00,11527.568787431,2018-03-13 00:00:00+00:00,True
short,2018-03-18 00:00:00+00:00,7906.383969743,2018-03-25 00:00:00+00:00,True
short,2018-03-22 00:00:00+00:00,8978.018989541,2018-03-29 00:00:00+00:00,True
short,2018-04-07 00:00:00+00:00,6637.296686235,2018-04-14 00:00:00+00:00,True
short,2018-04-25 00:00:00+00:00,9715.110087646,2018-05-02 00:00:00+00:00,True
short,2018-05-06 00:00:00+00:00,9864.060648696,2018-05-13 00:00:00+00:00,True
short,2018-05-29 00:00:00+00:00,7149.250597223,2018-06-05 00:00:00+00:00,True
short,2018-06-04 00:00:00+00:00,7684.931799179,2018-06-11 00:00:00+00:00,True
short,2018-06-14 00:00:00+00:00,6308.396028075,2018-06-21 00:00:00+00:00,True
short,2018-06-21 00:00:00+00:00,6734.137827984,2018-06-28 00:00:00+00:00,True
short,2018-06-29 00:00:00+00:00,5912.435445858,2018-07-06 00:00:00+00:00,True
short,2018-07-08 00:00:00+00:00,6718.701013051,2018-07-15 00:00:00+00:00,True
short,2018-07-13 00:00:00+00:00,6202.44217648,2018-07-20 00:00:00+00:00,True
short,2018-07-25 00:00:00+00:00,8338.940620442998,2018-08-01 00:00:00+00:00,True
short,2018-08-11 00:00:00+00:00,6183.831055963,2018-08-18 00:00:00+00:00,True
short,2018-09-05 00:00:00+00:00,7360.98929488,2018-09-12 00:00:00+00:00,True
short,2018-09-09 00:00:00+00:00,6214.515450407,2018-09-16 00:00:00+00:00,True
short,2018-09-18 00:00:00+00:00,6274.229073713,2018-09-25 00:00:00+00:00,True
short,2018-09-22 00:00:00+00:00,6744.696981129,2018-09-29 00:00:00+00:00,True
short,2018-10-09 00:00:00+00:00,6657.272477736,2018-10-16 00:00:00+00:00,True
short,2018-10-12 00:00:00+00:00,6252.437099217,2018-10-19 00:00:00+00:00,True
short,2018-10-30 00:00:00+00:00,6252.273570761,2018-11-06 00:00:00+00:00,True
short,2018-11-08 00:00:00+00:00,6526.82015405,2018-11-15 00:00:00+00:00,True
short,2018-11-27 00:00:00+00:00,3801.729366908,2018-12-04 00:00:00+00:00,True
short,2018-12-15 00:00:00+00:00,3236.700910153,2018-12-22 00:00:00+00:00,True
short,2018-12-21 00:00:00+00:00,4103.258581528,2018-12-28 00:00:00+00:00,True
short,2018-12-28 00:00:00+00:00,3651.165345688,2019-01-04 00:00:00+00:00,True
short,2019-01-07 00:00:00+00:00,4085.907581678,2019-01-14 00:00:00+00:00,True
