term,horizon_days,body,extension,train_cases,validation_cases,test_cases,nonoverlap_cases,validation_skill,test_skill,test_rmse_logreturn,baseline_rmse,zero_return_rmse,nonoverlap_mean_loss_gain,p,ci_low,ci_high,holm_p,validation_rank,supported
intermediate,90,Saturn,False,1736,1006,1192,14,-20.18838077753356,0.6054048083919303,0.2765893131276913,0.440310965649133,0.2973176421147543,0.11695899093548542,,,,1.0,10,False
intermediate,90,Uranus,False,1736,1006,1192,14,-9.774561990622715,-0.8155923112249508,0.5932922411770531,0.440310965649133,0.2973176421147543,-0.2407140951532047,,,,1.0,8,False
intermediate,90,Neptune,False,1736,1006,1192,14,-5.0383165343464045,-0.3100771794433568,0.5039737800170525,0.440310965649133,0.2973176421147543,0.018684366057679397,,,,1.0,7,False
intermediate,90,Pluto,False,1736,1006,1192,14,-2.426432999210682,-0.20559572678140792,0.48345978145072765,0.440310965649133,0.2973176421147543,0.054873593870613316,,,,1.0,6,False
intermediate,90,Moon,True,1736,1006,1192,14,-0.004067685717942027,-0.003916947101105128,0.4411724602466608,0.440310965649133,0.2973176421147543,0.011548344362856558,,,,1.0,1,False
long,365,Sun,False,1461,731,917,3,-0.012943016810223806,0.002543200149293323,1.27604076047391,1.2776664755473126,0.6645992526812168,0.01625311057659336,,,,1.0,9,False
long,365,Mercury,False,1461,731,917,3,-0.006247883138241761,-0.016399917309960488,1.2881006817654244,1.2776664755473126,0.6645992526812168,-0.2196264706966544,,,,1.0,8,False
long,365,Venus,False,1461,731,917,3,0.06355196055560508,0.1512851831277232,1.1770594316975518,1.2776664755473126,0.6645992526812168,-0.23520816451833748,,,,1.0,6,False
long,365,Mars,False,1461,731,917,3,-0.3006196592255832,0.2589485760240433,1.0998708008548093,1.2776664755473126,0.6645992526812168,0.7754118955320735,,,,1.0,10,False
long,365,Jupiter,False,1461,731,917,3,0.319092175020101,-17.01879352879067,5.4235088605049375,1.2776664755473126,0.6645992526812168,-21.75375209090326,,,,1.0,5,False
long,365,Saturn,False,1461,731,917,3,0.8675602732885423,0.6580994875188787,0.7470804564465174,1.2776664755473126,0.6645992526812168,1.9071097650488815,,,,1.0,1,False
long,365,Uranus,False,1461,731,917,3,0.4790119348293058,-0.6316976894411614,1.632064614833448,1.2776664755473126,0.6645992526812168,-0.7631821423389393,,,,1.0,4,False
long,365,Neptune,False,1461,731,917,3,0.7085142359689776,-7.080514830399526,3.631926202050843,1.2776664755473126,0.6645992526812168,-6.249487810796631,,,,1.0,2,False
long,365,Pluto,False,1461,731,917,3,0.5668878796839554,-26.51989868420647,6.702563156482043,1.2776664755473126,0.6645992526812168,-24.075622395104904,,,,1.0,3,False
long,365,Moon,True,1461,731,917,3,0.0032413922898679726,-0.002085935128725902,1.2789983460523326,1.2776664755473126,0.6645992526812168,-0.061747498235542486,,,,1.0,7,False
